waist,shoulder,elbow,roll,pitch,spin,grab
0,None,None,None,None,None,None
80,None,None,None,None,None,None
20,None,None,None,None,None,None
90,None,None,None,None,None,None
10,None,None,None,None,None,None
40,None,None,None,None,None,None
60,None,None,None,None,None,None
80,None,None,None,None,None,None
10,None,None,None,None,None,None
50,None,None,None,None,None,None
0,None,None,None,None,None,None
,,,,,50,
,,,,,100,
,,,,,0,
